share;Наименование цб;ISIN;Номинал;Валюта номинала;Объем выпуска;Дата погашения;Утренняя сессия;Вечерняя сессия;Сессия выходного дня;Уровень листинга;Размер лота;Для квал. инвесторов
PHOR;ФосАгро ао;RU000A0JRKT8;2,5;RUB;129 500 000;-;Да;Да;Да;1;1;Нет
BELU;НоваБев ао;RU000A0HL5M1;100;RUB;126 400 000;-;Да;Да;Да;1;1;Нет
ARSA;Арсагера;RU000A0JP0Q7;1;RUB;123 817 165;-;Да;Да;Да;3;100;Нет
KGKC;КурганГКао;RU000A0JP120;7,2;RUB;122 453 406;-;Да;Да;Да;3;10;Нет
MISB;ТНСэнМарЭл;RU000A0D8K33;0,1;RUB;121 847 780;-;Да;Да;Да;3;100;Нет
LEAS;Европлан;RU000A0ZZFS9;1;RUB;120 000 000;-;Да;Да;Да;1;1;Нет
KZOSP;ОргСинт ап;RU0006753456;1;RUB;119 596 000;-;Да;Да;Да;3;10;Нет
LENT;Лента ао;RU000A102S15;0,0913;RUB;115 985 197;-;Да;Да;Да;1;1;Нет
WUSH;iВУШХолднг;RU000A105EX7;0,01;RUB;111 382 432;-;Да;Да;Да;2;1;Нет
RUSI;ИКРУСС-ИНВ;RU000A0JQ9W5;1;RUB;109 000 000;-;Да;Да;Да;3;10;Нет
ABRD;АбрауДюрсо;RU000A0JS5T7;1;RUB;108 889 117;-;Да;Да;Да;3;10;Нет
LSRG;ЛСР ао;RU000A0JPFP0;0,25;RUB;103 030 215;-;Да;Да;Да;1;1;Нет
MGNT;Магнит ао;RU000A0JKQU8;0,01;RUB;101 911 355;-;Да;Да;Да;3;1;Нет
IVAT;iИВА;RU000A108GD8;0,1;RUB;100 000 000;-;Да;Да;Да;2;1;Нет
ZAYM;Займер ао;RU000A107RM8;0,1;RUB;100 000 000;-;Да;Да;Да;3;10;Нет
MFGS;Мегион-ао;RU0009011126;25;RUB;99 474 705;-;Да;Да;Да;3;10;Нет
LSNGP;РСетиЛЭ-п;RU0009092134;1;RUB;93 264 311;-;Да;Да;Да;3;10;Нет
ABIO;iАРТГЕН ао;RU000A0JNAB6;0,1;RUB;92 645 451;-;Да;Да;Да;2;10;Нет
DIOD;ЗаводДИОД;RU000A0JQWC1;0,01;RUB;91 500 000;-;Да;Да;Да;3;100;Нет
KLSB;КалужскСК;RU000A0DKZK3;0,2;RUB;91 487 347;-;Да;Да;Да;3;100;Нет
GEMC;МКПАО ЮМГ;RU000A107JE2;0,0372;RUB;90 000 000;-;Да;Да;Да;1;1;Нет
AQUA;ИНАРКТИКА;RU000A0JQTS3;100;RUB;87 876 649;-;Да;Да;Да;1;1;Нет
GECO;iГЕНЕТИКО;RU000A105BN4;0,01;RUB;83 000 000;-;Да;Да;Да;3;10;Нет
AVAN;Авангрд-ао;RU000A0DM7B3;30;RUB;80 700 000;-;Да;Да;Да;3;1;Нет
VGSBP;ВолгЭнСб-п;RU000A0D8L57;0,12;RUB;80 499 134;-;Да;Да;Да;3;1 000;Нет
MGTS;МГТС-5ао;RU0009036461;40;RUB;79 708 751;-;Да;Да;Да;3;1;Нет
CNRU;Циан;RU000A10ANA1;0,0337;RUB;77 670 490;-;Да;Да;Да;1;1;Нет
MDMG;MDMG-ао;RU000A108KL3;7,1687;RUB;75 125 010;-;Да;Да;Да;1;1;Нет
POSI;iПозитив;RU000A103X66;0,5;RUB;71 214 000;-;Да;Да;Да;1;1;Нет
KRKOP;ТКЗКК ап;RU0009098131;1;RUB;71 086 000;-;Да;Да;Да;3;100;Нет
NKHP;НКХП ао;RU000A0BLWD7;1;RUB;67 597 000;-;Да;Да;Да;3;10;Нет
NKSH;Нижкамшина;RU0009100515;1;RUB;63 731 171;-;Да;Да;Да;3;100;Нет
SMLT;Самолет ао;RU000A0ZZG02;25;RUB;61 579 358;-;Да;Да;Да;1;1;Нет
GTRK;ГТМ ао;RU000A0ZYD22;100;RUB;58 462 120;-;Да;Да;Да;3;10;Нет
VRSB;ТНСэнВорон;RU000A0DPG67;0,4;RUB;56 151 024;-;Да;Да;Да;3;10;Нет
CNTLP;Телеграф-п;RU0007665139;1;RUB;55 389 000;-;Да;Да;Да;3;100;Нет
URKZ;УрКузница;RU000A0JPFY2;0,01;RUB;54 776 100;-;Да;Да;Да;3;1;Нет
LVHK;Левенгук;RU000A0JT7Y2;10;RUB;52 940 000;-;Да;Да;Да;3;100;Нет
SFIN;ЭсЭфАй ао;RU000A0JVW89;0,67;RUB;50 237 005;-;Да;Да;Да;1;1;Нет
HEAD;Хэдхантер;RU000A107662;1;RUB;47 184 918;-;Да;Да;Да;1;1;Нет
GCHE;ЧеркизГ-ао;RU000A0JL4R1;0,01;RUB;42 222 042;-;Да;Да;Да;3;1;Нет
KFBA;ИНГРАД ао;RU000A0DJ9B4;1 000,00;RUB;41 220 793;-;Да;Да;Да;3;1;Нет
HNFG;ХЭНДЕРСОН;RU000A106XF2;50;RUB;40 444 445;-;Да;Да;Да;2;1;Нет
MBNK;МТС Банк;RU000A0JRH43;500;RUB;37 526 637;-;Да;Да;Да;1;1;Нет
AKRN;Акрон;RU0009028674;5;RUB;36 757 156;-;Да;Да;Да;2;1;Нет
PMSB;ПермьЭнСб;RU000A0ET123;3,25;RUB;36 210 960;-;Да;Да;Да;3;10;Нет
BISVP;БашИнСв ап;RU0009100176;1;RUB;36 165 270;-;Да;Да;Да;3;100;Нет
UKUZ;ЮжКузб. ао;RU0005294775;0,04;RUB;36 149 002;-;Да;Да;Да;3;1;Нет
MFGSP;Мегион-ап;RU0009011134;25;RUB;33 056 875;-;Да;Да;Да;3;10;Нет
SVAV;СОЛЛЕРС;RU0006914488;12,5;RUB;31 486 001;-;Да;Да;Да;2;1;Нет
BANEP;Башнефт ап;RU0007976965;1;RUB;29 788 012;-;Да;Да;Да;3;1;Нет
RDRB;РДБанк ао;RU000A0JU6Q7;124;RUB;27 492 735;-;Да;Да;Да;3;10;Нет
CHGZ;РН-ЗапСиб;RU0009082291;0,1;RUB;26 771 420;-;Да;Да;Да;3;10;Нет
KOGK;КоршГОК ао;RU0002155359;0,01;RUB;25 012 600;-;Да;Да;Да;3;1;Нет
SVET;Светофор;RU000A100592;1;RUB;22 333 500;-;Да;Да;Да;3;1;Нет
LMBZ;Ламбумиз;RU000A108ZX6;0,025;RUB;20 752 219;-;Да;Да;Да;3;1;Нет
BSPBP;БСП ап;RU000A0JP0U9;1;RUB;20 100 000;-;Да;Да;Да;3;100;Нет
VRSBP;ТНСэнВор-п;RU000A0DPG75;0,4;RUB;18 716 678;-;Да;Да;Да;3;10;Нет
GAZA;ГАЗ ао;RU0009034268;1;RUB;18 520 260;-;Да;Да;Да;3;10;Нет
VJGZ;Варьеган;RU0009046460;0,1;RUB;18 091 110;-;Да;Да;Да;3;1;Нет
KBSB;ТНСэКубань;RU000A0JNJ11;0,56;RUB;17 869 440;-;Да;Да;Да;3;10;Нет
YRSB;ТНСэнЯр;RU000A0D8760;1;RUB;17 143 584;-;Да;Да;Да;3;10;Нет
ROST;РОСИНТЕРао;RU000A0JP922;169,7;RUB;16 305 334;-;Да;Да;Да;3;10;Нет
NSVZ;iНаукаСвяз;RU000A0JQLB6;1;RUB;15 701 562;-;Да;Да;Да;3;10;Нет
MGTSP;МГТС-4ап;RU0009036479;40;RUB;15 514 042;-;Да;Да;Да;3;1;Нет
KGKCP;КурганГКап;RU000A0JP138;7,2;RUB;14 393 052;-;Да;Да;Да;3;10;Нет
TNSE;ТНСэнрг ао;RU000A0JUCQ5;1;RUB;13 668 239;-;Да;Да;Да;3;1;Нет
VSMO;ВСМПО-АВСМ;RU0009100291;1;RUB;11 529 538;-;Да;Да;Да;2;1;Нет
PMSBP;ПермьЭнС-п;RU000A0ET156;3,25;RUB;11 353 500;-;Да;Да;Да;3;10;Нет
MISBP;ТНСэМаЭл-п;RU000A0D8K41;0,1;RUB;10 652 220;-;Да;Да;Да;3;100;Нет
DIAS;iДиасофт;RU000A107ER5;0,01;RUB;10 500 000;-;Да;Да;Да;2;1;Нет
KROT;КрасОкт-ао;RU0008913850;1;RUB;9 217 583;-;Да;Да;Да;3;10;Нет
TUZA;ТЗА ао;RU000A0HL7A2;10;RUB;8 220 000;-;Да;Да;Да;3;10;Нет
NFAZ;НЕФАЗ;RU0009115604;1;RUB;8 038 896;-;Да;Да;Да;3;10;Нет
BRZL;БурЗолото;RU0009288658;0,025;RUB;7 027 270;-;Да;Да;Да;3;1;Нет
VJGZP;Варьеган-п;RU0007964789;0,1;RUB;5 883 050;-;Да;Да;Да;3;1;Нет
VLHZ;ВХЗ-ао;RU0007984761;20;RUB;5 005 605;-;Да;Да;Да;3;10;Нет
YRSBP;ТНСэнЯр-п;RU000A0D88B3;1;RUB;4 507 320;-;Да;Да;Да;3;10;Нет
NNSB;ТНСэнНН ао;RU000A0ET5A1;11,88;RUB;3 919 400;-;Да;Да;Да;3;1;Нет
KMEZ;КМЗ;RU0006753613;250;RUB;3 764 600;-;Да;Да;Да;3;1;Нет
KAZTP;Куйбазот-п;RU000A0B9BW0;1;RUB;3 696 506;-;Да;Да;Да;3;10;Нет
CHMK;ЧМК ао;RU0007665170;1;RUB;3 161 965;-;Да;Да;Да;3;1;Нет
OMZZP;ОМЗ-ап;RU0009090559;0,1;RUB;2 750 000;-;Да;Да;Да;3;1;Нет
ZILL;ЗИЛ ао;RU0009086193;1 000,00;RUB;2 659 962;-;Да;Да;Да;3;1;Нет
SVETP;Светофор п;RU000A1005A9;1;RUB;2 481 500;-;Да;Да;Да;3;1;Нет
VSYD;ВыбСудЗ ао;RU0006334372;0,5;RUB;1 891 250;-;Да;Да;Да;3;1;Нет
RKKE;ЭнергияРКК;RU0009095939;1 000,00;RUB;1 811 073;-;Да;Да;Да;3;1;Нет
PAZA;ПавлАвт ао;RU0009083240;415;RUB;1 567 904;-;Да;Да;Да;3;1;Нет
KROTP;КрасОкт-1п;RU0008913868;1;RUB;1 474 549;-;Да;Да;Да;3;10;Нет
GAZAP;ГАЗ ап;RU000A0ZYHF5;1;RUB;1 453 500;-;Да;Да;Да;3;10;Нет
LNZL;Лензолото;RU000A0JP1N2;1;RUB;1 140 300;-;Да;Да;Да;3;1;Нет
NNSBP;ТНСэнНН ап;RU000A0ET5B9;11,88;RUB;1 063 512;-;Да;Да;Да;3;1;Нет
IGST;Ижсталь2ао;RU0002155292;1 000,00;RUB;800 729;-;Да;Да;Да;3;1;Нет
KRKN;СаратНПЗ;RU0009100408;1;RUB;748 012;-;Да;Да;Да;3;1;Нет
CHKZ;ЧКПЗ ао;RU000A0JNST0;200;RUB;600 216;-;Да;Да;Да;3;1;Нет
UNKL;ЮУНК ао;RU0004887991;1;RUB;599 737;-;Да;Да;Да;3;1;Нет
LNZLP;Лензол. ап;RU000A0JP1P7;1;RUB;347 700;-;Да;Да;Да;3;1;Нет
DZRD;ДонскЗР;RU000A0JQW11;1;RUB;343 407;-;Да;Да;Да;3;1;Нет
